0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
-6.494216,6.39445,7.4990826,-1.7067816,0.09907554,0.060709435,0.06367517,0.010534169,-0.11700629,0.35618025,-0.31133574,0.007475944,0.004076041,-0.0016598774,0.001277485,0.0030586268,0.0010354593,-9.4127994e-05,0.00013245211,-0.0003876781,-0.00020465422,0.0004746482,-0.000923413,0.00069820095,-0.00015014182,0.00020958035,9.7685224e-05,0.00017942666,0.00027298174,5.5534896e-05
-6.488036,6.3570414,7.484524,-1.6972346,0.051427104,0.038877208,0.052852158,0.007258375,-0.09682492,0.2920111,-0.25401494,0.006187879,0.0033612924,-0.0011337942,0.000912114,0.0023068597,0.00082080474,-0.0001226891,8.333615e-05,-0.00023320151,-0.00021328221,0.00027904182,-0.00050420145,0.0006043368,-8.936043e-05,4.1295203e-05,1.2539679e-05,0.00012481402,0.00013630016,5.489825e-05
-6.4813848,6.3197446,7.47044,-1.6873145,0.0038553646,0.017078685,0.04229855,0.0044977213,-0.07692429,0.22798881,-0.19697845,0.004998347,0.0025871866,-0.000710902,0.0005958071,0.0015990785,0.00059718464,-0.00014081117,0.00012550657,-0.00011007238,-9.0543894e-05,5.4608663e-05,-0.00014428106,0.00044833397,-6.235378e-05,3.4205612e-05,-5.5034972e-05,7.045517e-05,3.55814e-05,3.1498737e-05
-6.471216,6.2630506,7.4481363,-1.6711098,-0.06653197,-0.01615423,0.026584681,0.0011165654,-0.04712152,0.13251095,-0.112242155,0.0032466396,0.0012997433,-0.00014919689,0.00027865212,0.0006437177,0.00033976574,-1.1050178e-05,-0.00011735425,1.9569601e-05,-0.0001752827,-0.00021845881,0.0002682451,-9.8297984e-05,-6.315632e-06,-0.00011841145,-4.1806034e-05,-2.679716e-05,-4.056129e-05,1.2305607e-05
-6.464331,6.2256103,7.432488,-1.6603261,-0.113053605,-0.03782086,0.016442185,-0.0008117719,-0.027554577,0.06951268,-0.055821776,0.0020891859,0.00038613036,0.00015637423,-0.00014299355,-0.00022836632,-6.234517e-05,-1.9038971e-05,5.091015e-05,0.00012898855,8.338488e-05,-0.00018711662,0.00035972966,-0.00024502006,4.733471e-05,-5.3411764e-05,-4.996277e-05,-7.431803e-05,-0.0001229404,-4.5044966e-05
-6.4570827,6.1882644,7.41707,-1.6489666,-0.159226,-0.059501745,0.0063650995,-0.0022503084,-0.0075003514,0.0068797385,0.00010960727,0.0008308514,-0.00062255084,0.0005712061,-0.00033502065,-0.00096625387,-0.0002166189,7.193847e-05,7.2682175e-05,0.00019002381,0.00020492234,-0.00029511147,0.00059675454,-0.0005283964,7.340768e-05,-6.772372e-05,-5.101662e-05,-0.00012508374,-0.00018753122,-5.679835e-05
-6.4459753,6.132791,7.3926473,-1.6320922,-0.22782938,-0.09106907,-0.008105132,-0.0039605238,0.021556066,-0.086431,0.08363655,-0.0007811979,-0.0021062803,0.0009295926,-0.00070343114,-0.0020971675,-0.00065907324,1.1141408e-05,3.2915734e-05,0.00039963957,0.00041130834,-0.000399195,0.0007823465,-0.0010024039,0.00017465944,-0.00011416199,-5.6959558e-05,-0.00020142346,-0.000299534,-6.856088e-05
-6.4381576,6.0965447,7.3763433,-1.6209337,-0.27323443,-0.11138181,-0.017398747,-0.0047176606,0.040894568,-0.1480954,0.13901685,-0.0018314813,-0.0031191132,0.0011684388,-0.000891418,-0.0028347769,-0.0008922375,-1.0879044e-05,-3.5672423e-05,0.00051261764,0.000509844,-0.00047919646,0.0009193155,-0.0013898369,0.00023975353,-0.00013072733,-2.9038818e-05,-0.0002573286,-0.00032767362,-7.700359e-05
-6.430104,6.0604405,7.359958,-1.6095365,-0.31837925,-0.13158,-0.026499491,-0.005112341,0.060089007,-0.20939451,0.19414514,-0.0028480832,-0.004181575,0.0013360362,-0.0010516058,-0.0036090715,-0.0011571002,-3.4321838e-05,-0.00027700808,0.00061037013,0.00037182998,-0.0005537835,0.0011163203,-0.0017113975,0.00032440093,-0.00023383381,-2.3594324e-05,-0.00031927507,-0.00040215554,-5.7528236e-05
-6.425043,6.0007815,7.314126,-1.5912318,-0.37881902,-0.16096121,-0.041068695,-0.00835187,0.08746405,-0.30005333,0.27513805,-0.004296067,-0.0054111034,0.0017858905,-0.0017878896,-0.0050992244,-0.0019315545,-3.530412e-05,-0.0007124933,0.001172558,0.0005763446,-0.00064191886,0.0011530599,-0.003226933,0.0006051814,-0.00026749432,0.00042622784,-0.000514655,-0.00031398688,-0.00021331057
